Name,Sex,House,Race,Blood status,Birthdate,Deathdate.or.Censor,Days,Age,Loyalty,Status
(Bill) William Arthur Weasley,Male,Gryffindor,Half-Human,Pure-blood,11/29/1970,6/30/1998,"10,075.00",27.00,Dumbledore,1
Aberforth Dumbledore,Male,NA,Human,Half-blood,9/1/1884,6/30/1996,"40,844.00",111.00,Dumbledore,1
Alastor Moody,Male,NA,Human,Pure-blood,1/1/1959,7/27/1997,"14,087.00",38.00,Dumbledore,2
Albus Percival Wulfric Brian Dumbledore,Male,Gryffindor,Human,Half-blood,8/31/1981,6/30/1997,"5,782.00",15.83,Dumbledore,2
Alecto Carrow,Female,Slytherin,Human,Unknown,12/31/1980,6/30/1998,"6,390.00",17.49,Voldemort,1
Alicia Spinnet,Female,Gryffindor,Human,Unknown,8/31/1978,6/30/1998,"7,243.00",19.83,Dumbledore,1
Amycus Carrow,Male,Slytherin,Human,Unknown,12/31/1981,6/30/1998,"6,025.00",16.50,Voldemort,1
Angelina Johnson,Female,Gryffindor,Human,Unknown,10/31/1977,6/30/1998,"7,547.00",20.66,Dumbledore,1
Anthony Goldstein,Male,Ravenclaw,Human,Half-blood,9/21/1970,6/30/1998,"10,144.00",27.77,Dumbledore,1
Antonin Dolohov,Male,Slytherin,Human,Unknown,12/31/1950,6/30/1998,"17,348.00",47.50,Voldemort,1
Argus Filch,Male,NA,Human ,Squib,11/30/1959,6/30/1998,"14,092.00",38.58,Unknown,1
Arthur Weasley,Male,Gryffindor,Human,Pure-blood,2/6/1950,6/30/1996,"16,946.00",46.40,Dumbledore,1
Augustus Rookwood,Male,Slytherin,Human,Unknown,11/30/1955,6/30/1998,"15,553.00",42.58,Voldemort,1
Aurora Sinistra,Female,NA,Human ,Pure-blood or half-blood,10/31/1967,6/30/1993,"9,374.00",25.66,Unknown,1
Barty Crouch Jr.,Male,NA,Human,Unknown,5/15/1905,1/1/1996,"33,103.00",90.63,Dumbledore,2
Barty Crouch Sr.,Male,NA,Human,Pure-blood,4/24/1942,5/27/1995,"19,391.00",53.09,Dumbledore,2
Bellatrix Lestrange,Female,Slytherin,Human,Pure-blood,5/4/1900,5/2/1998,"35,792.00",97.99,Voldemort,2
Benjy Fenwick,Male,NA,Human,Unknown,3/17/1963,6/3/1981,"6,653.00",18.21,Dumbledore,2
Blaise Zabini,Male,Slytherin,Human,Unknown,9/1/1979,6/30/1998,"6,877.00",18.83,Unknown,1
Bloody Baron,Male,Slytherin,Ghost,Unknown,1/2/0982,5/6/1054,"26,421.00",72.34,Unknown,2
Cedric Diggory,Male,Hufflepuff,Human,Pure-blood,10/30/1977,6/24/1995,"6,446.00",17.65,Dumbledore,2
Charity Burbage,Female,NA,Human,Unknown,6/6/1975,7/24/1997,"8,084.00",22.13,Dumbledore,2
Charles Weasley,Male,Gryffindor,Human,Pure-blood,12/12/1972,6/30/1994,"7,870.00",21.55,Dumbledore,1
Cho Chang,Female,Ravenclaw,Human,Unknown,9/1/1972,6/30/1998,"9,433.00",25.83,Dumbledore,1
Colin Creevey,Male,Gryffindor,Human,Muggle-born,5/3/1981,5/2/1988,"2,556.00",7.00,Dumbledore,2
Corban Yaxley,Male,Slytherin,Human,Unknown,7/2/1969,6/30/1998,"10,590.00",28.99,Voldemort,1
Cormac McLaggen,Male,Gryffindor,Human,Unknown,9/1/1978,6/30/1998,"7,242.00",19.83,Dumbledore,1
Cornelius Oswald Fudge,Male,NA,Human,Unknown,4/3/1973,6/30/1998,"9,219.00",25.24,Dumbledore,1
Cuthbert Binns,Male,NA,Human,Unknown,2/2/1824,4/5/1889,"23,804.00",65.17,Unknown,2
Dean Thomas,Male,Gryffindor,Human,Muggle-born,8/31/1980,6/30/1998,"6,512.00",17.83,Dumbledore,1
Dedalus Diggle,Male,NA,Human,Unknown,4/3/1963,6/30/1998,"12,872.00",35.24,Dumbledore,1
Dennis Creevey,Male,Gryffindor,Human ,Muggle-born,8/22/1983,6/30/1995,"4,330.00",11.85,Dumbledore,1
Dolores Jane Umbridge,Female,Slytherin,Human,Half-blood,8/26/1960,6/30/1998,"13,822.00",37.84,Voldemort,1
Dorcas Meadowes,Female,NA,Human,Unknown,4/23/1955,6/3/1981,"9,538.00",26.11,Dumbledore,2
Draco Malfoy,Male,Slytherin,Human,Pure-blood,6/5/1980,6/30/1998,"6,599.00",18.07,Voldemort,1
Dudley Dursley,Male,NA,Human ,Muggle,6/23/1980,6/30/1998,"6,581.00",18.02,Unknown,1
Edgar Bones,Male,Hufflepuff,Human,Unknown,8/22/1947,6/3/1981,"12,339.00",33.78,Dumbledore,2
Edward Remus Lupin,Male,Hufflepuff,Human,Half-blood,3/10/1960,5/2/1998,"13,932.00",38.14,Dumbledore,2
Elphias Doge,Male,NA,Human,Pure-blood,8/26/1881,6/30/1998,"42,676.00",116.84,Dumbledore,1
Emmeline Vance,Female,NA,Human,Unknown,4/23/1963,2/2/1996,"11,973.00",32.78,Dumbledore,2
Ernest Macmillan,Male,Hufflepuff,Human,Pure-blood,4/21/1980,6/30/1998,"6,644.00",18.19,Dumbledore,1
Fabian Prewett,Male,NA,Human,Pure-blood,6/3/1905,1/1/1981,"27,606.00",75.58,Dumbledore,2
Fat Friar,Male,Hufflepuff,Ghost,Unknown,9/9/0995,2/6/1987,"362,105.00",991.39,Unknown,2
Fenrir Greyback,Male,NA,Werewolf,Werewolf,11/28/1944,6/30/1998,"19,572.00",53.59,Voldemort,1
Filius Flitwick,Male,Ravenclaw,Half-Human,Part-Goblin,10/17/1958,6/30/1998,"14,501.00",39.70,Dumbledore,1
Fleur Isabelle Delacour,Female,Beauxbatons Academy of Magic,Human,Quarter-Veela,10/30/1977,6/30/1998,"7,548.00",20.67,Dumbledore,1
Frank Longbottom,Male,Gryffindor,Human,Pure-blood,8/25/1959,6/30/1998,"14,189.00",38.85,Dumbledore,1
Fred Weasley,Male,Gryffindor,Human,Pure-blood,4/1/1978,5/2/1997,"6,971.00",19.09,Dumbledore,2
Gabrielle Delacour,Female,Beauxbatons Academy of Magic,Human ,Quarter-Veela,6/30/1986,6/30/1998,"4,383.00",12.00,Dumbledore,1
Garrick Ollivander,Male,Ravenclaw,Human,Half-blood,9/25/1907,6/30/1998,"33,151.00",90.76,Dumbledore,1
Gellert Grindelwald,Male,NA,Human ,Pure-blood or half-blood,2/25/1905,3/26/1998,"33,997.00",93.08,Voldemort,2
George Weasley,Male,Gryffindor,Human,Pure-blood,4/11/1978,6/30/1998,"7,385.00",20.22,Dumbledore,1
Gideon Prewett,Male,NA,Human,Pure-blood,5/4/1905,6/3/1981,"27,789.00",76.08,Dumbledore,2
Gilderoy Lockhart,Male,Ravenclaw,Human,Half-blood,1/26/1964,6/30/1998,"12,574.00",34.43,Dumbledore,1
Ginevra (Ginny) Molly Weasley,Female,Gryffindor,Human,Pure-blood,8/1/1989,6/30/1998,"3,255.00",8.91,Dumbledore,1
Godric Gryffindor,Male,Gryffindor,Human,Unknown,8/22/0975,6/23/1043,"24,776.00",67.83,Dumbledore,2
Graham Montague,Male,Slytherin,Human,Unknown,8/31/1965,6/30/1998,"11,991.00",32.83,Voldemort,1
Gregory Goyle,Male,Slytherin,Human,Pure-blood,4/30/1980,6/30/1998,"6,635.00",18.17,Voldemort,1
Hannah Abbott,Female,Hufflepuff,Human,Half-blood,9/1/1980,6/30/1995,"5,415.00",14.83,Dumbledore,1
Harry James Potter,Male,Gryffindor,Human,Half-blood,7/31/1980,6/30/1998,"6,543.00",17.91,Dumbledore,1
Helena Ravenclaw,Female,Ravenclaw,Ghost,Unknown,6/3/0983,4/22/1058,"27,351.00",74.88,Dumbledore,2
Helga Hufflepuff,Female,Hufflepuff,Human,Unknown,4/4/0974,6/23/1000,"9,576.00",26.22,Dumbledore,2
Hermione Jean Granger,Female,Gryffindor,Human,Muggle-born,9/19/1979,6/30/1998,"6,859.00",18.78,Dumbledore,1
Hestia Jones,Female,NA,Human,Unknown,5/3/1977,6/30/1998,"7,728.00",21.16,Dumbledore,1
Horace Eugene Flaccus Slughorn,,Slytherin,Human,Unknown,4/28/1882,6/30/1996,"41,701.00",114.17,Dumbledore,1
Igor Karkaroff,Male,NA,Human,Unknown,7/5/1964,6/24/1998,"12,407.00",33.97,Voldemort,2
Irma Pince,Female,NA,Human ,Unknown,8/23/1965,6/30/1998,"11,999.00",32.85,Dumbledore,1
